t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
47.826733,"[0.066406, 0.308594, -0.957031]","[0.000000, 0.000000, -0.000000]","[-0.019999, -0.019999, 0.042179]","[0.000002, 0.000002, -0.000002]","[0.017090, -0.022217, 0.050293]","[-0.011322, 0.008331, 0.025360, 0.999573]","[-0.000214, 0.000244, 0.023895, 0.999695]","[0.056396, -0.052490, 0.072754]","[[0.998535, 0.050415, -0.017212], [-0.050903, 0.998413, -0.022278], [0.015991, 0.023010, 0.999573]]",0.998535,"[7978, 7835, 7851, 7927]"
47.852131,"[0.066406, 0.308594, -0.957031]","[0.000000, 0.000000, -0.000000]","[-0.009998, -0.019999, 0.074642]","[0.000008, 0.000006, -0.000007]","[0.011963, -0.020264, 0.051514]","[-0.010345, 0.005737, 0.025940, 0.999573]","[-0.000214, 0.000732, 0.023895, 0.999695]","[0.022705, -0.207275, 0.032227]","[[0.998474, 0.051697, -0.011963], [-0.051941, 0.998352, -0.020447], [0.010864, 0.020935, 0.999634]]",0.998474,"[7987, 7920, 7817, 7834]"
47.854076,"[0.066406, 0.308594, -0.957031]","[0.000000, 0.000000, -0.000000]","[-0.009998, -0.009998, 0.074932]","[0.000008, 0.000006, -0.000007]","[0.011230, -0.020264, 0.051758]","[-0.010315, 0.005432, 0.026001, 0.999573]","[-0.000702, 0.000732, 0.023895, 0.999695]","[0.037109, -0.291748, 0.059326]","[[0.998474, 0.051819, -0.011353], [-0.052063, 0.998291, -0.020386], [0.010254, 0.020874, 0.999634]]",0.998474,"[7997, 7932, 7819, 7834]"
47.873608,"[0.066406, 0.308594, -0.953125]","[0.000000, 0.000000, -0.000000]","[0.000000, -0.009998, 0.097679]","[0.000018, 0.000015, -0.000017]","[0.008301, -0.019531, 0.053223]","[-0.009918, 0.003906, 0.026703, 0.999573]","[-0.000702, 0.001221, 0.023895, 0.999695]","[0.004639, -0.035400, 0.056641]","[[0.998474, 0.053223, -0.008301], [-0.053467, 0.998291, -0.019653], [0.007202, 0.020020, 0.999695]]",0.998474,"[8028, 7944, 7821, 7819]"
47.941967,"[0.066406, 0.308594, -0.949219]","[0.000004, 0.000003, -0.000003]","[-0.009998, -0.019999, 0.158131]","[0.000113, 0.000096, -0.000104]","[0.001953, -0.017334, 0.057861]","[-0.008759, 0.000793, 0.029083, 0.999542]","[-0.000092, 0.000610, 0.023895, 0.999695]","[0.033447, 0.025146, 0.079102]","[[0.998291, 0.058044, -0.002075], [-0.058167, 0.998169, -0.017517], [0.000977, 0.017517, 0.999817]]",0.998291,"[8042, 7934, 7875, 7879]"
47.97517,"[0.066406, 0.296875, -0.945312]","[0.000011, 0.000009, -0.000010]","[0.019999, -0.009998, 0.190165]","[0.000266, 0.000227, -0.000245]","[0.000000, -0.018311, 0.060303]","[-0.009125, -0.000244, 0.030182, 0.999512]","[0.000153, 0.001923, 0.023895, 0.999695]","[0.011719, -0.131592, 0.024170]","[[0.998169, 0.060303, -0.000122], [-0.060303, 0.998047, -0.018311], [-0.001099, 0.018188, 0.999817]]",0.998169,"[8070, 7929, 7881, 7925]"
48.008373,"[0.066406, 0.296875, -0.941406]","[0.000026, 0.000022, -0.000024]","[0.009998, -0.019999, 0.204741]","[0.000533, 0.000454, -0.000491]","[-0.001465, -0.017090, 0.062744]","[-0.008545, -0.001068, 0.031433, 0.999481]","[0.000641, 0.001434, 0.023895, 0.999695]","[0.057373, 0.033691, 0.118896]","[[0.998047, 0.062805, 0.001587], [-0.062805, 0.997925, -0.017212], [-0.002686, 0.016968, 0.999878]]",0.998047,"[8084, 7960, 7906, 7896]"
48.041576,"[0.078125, 0.296875, -0.933594]","[0.000054, 0.000046, -0.000050]","[0.029999, 0.000000, 0.246326]","[0.000952, 0.000812, -0.000879]","[-0.002686, -0.016113, 0.065186]","[-0.007996, -0.001678, 0.032623, 0.999451]","[-0.000519, 0.003418, 0.023895, 0.999695]","[-0.010254, -0.044922, 0.044922]","[[0.997925, 0.065186, 0.002808], [-0.065186, 0.997803, -0.016113], [-0.003906, 0.015869, 0.999878]]",0.997925,"[8104, 7978, 7929, 7938]"
48.074783,"[0.066406, 0.296875, -0.929688]","[0.000076, 0.000064, -0.000070]","[0.029999, -0.009998, 0.281479]","[0.001232, 0.001051, -0.001138]","[-0.003418, -0.015381, 0.067627]","[-0.007660, -0.002014, 0.033936, 0.999420]","[0.000061, 0.002533, 0.023895, 0.999695]","[0.114990, -0.044922, 0.084961]","[[0.997742, 0.067810, 0.003479], [-0.067810, 0.997681, -0.015503], [-0.004578, 0.015137, 0.999939]]",0.997742,"[8152, 7982, 7965, 7958]"
48.109936,"[0.078125, 0.296875, -0.921875]","[0.000137, 0.000117, -0.000127]","[0.039999, 0.000000, 0.308390]","[0.001959, 0.001674, -0.001812]","[-0.003662, -0.014893, 0.070557]","[-0.007446, -0.002136, 0.035309, 0.999359]","[-0.000397, 0.003784, 0.023895, 0.999695]","[-0.010254, -0.074219, 0.019043]","[[0.997498, 0.070557, 0.003723], [-0.070557, 0.997437, -0.015076], [-0.004822, 0.014709, 0.999878]]",0.997498,"[8128, 8003, 7993, 7982]"
